P140, 353.0, 434, 0.8133640552995391, 353.0, 434, 0.8133640552995391
P279, 612.0, 903, 0.6777408637873754, 965.0, 1337, 0.7217651458489155
P361, 356.0, 756, 0.4708994708994709, 1321.0, 2093, 0.6311514572384138
P1001, 585.0, 664, 0.8810240963855421, 1906.0, 2757, 0.6913311570547697
P30, 901.0, 959, 0.9395203336809176, 2807.0, 3716, 0.7553821313240043
P127, 344.0, 619, 0.555735056542811, 3151.0, 4335, 0.7268742791234141
P131, 371.0, 775, 0.47870967741935483, 3522.0, 5110, 0.6892367906066537
P530, 30.0, 950, 0.031578947368421054, 3552.0, 6060, 0.5861386138613861
P1412, 757.0, 924, 0.8192640692640693, 4309.0, 6984, 0.6169816723940436
P27, 505.0, 958, 0.5271398747390397, 4814.0, 7942, 0.6061445479728028
P190, 30.0, 671, 0.044709388971684055, 4844.0, 8613, 0.5624056658539417
P495, 416.0, 905, 0.45966850828729283, 5260.0, 9518, 0.5526371086362681
P39, 348.0, 485, 0.7175257731958763, 5608.0, 10003, 0.560631810456863
P178, 373.0, 588, 0.6343537414965986, 5981.0, 10591, 0.5647247663110188
P264, 0.0, 53, 0.0, 5981.0, 10644, 0.5619128147313041
P17, 580.0, 911, 0.6366630076838639, 6561.0, 11555, 0.5678061445261792
P101, 102.0, 573, 0.17801047120418848, 6663.0, 12128, 0.5493898416886543
P364, 434.0, 756, 0.5740740740740741, 7097.0, 12884, 0.5508382489909965
P1376, 101.0, 180, 0.5611111111111111, 7198.0, 13064, 0.5509797917942437
P19, 206.0, 780, 0.2641025641025641, 7404.0, 13844, 0.5348165270153135
P20, 329.0, 817, 0.40269277845777235, 7733.0, 14661, 0.5274537889639179
P1303, 224.0, 513, 0.43664717348927873, 7957.0, 15174, 0.5243838144194016
P159, 330.0, 801, 0.41198501872659177, 8287.0, 15975, 0.5187480438184664
P740, 147.0, 843, 0.17437722419928825, 8434.0, 16818, 0.5014865025567844
P106, 325.0, 821, 0.39585870889159563, 8759.0, 17639, 0.4965701003458246
P937, 448.99999999999994, 853, 0.5263774912075029, 9208.0, 18492, 0.4979450573220852
P37, 566.0, 900, 0.6288888888888889, 9774.0, 19392, 0.5040222772277227
P407, 639.0, 857, 0.7456242707117853, 10413.0, 20249, 0.5142476171662799
P136, 593.0, 858, 0.6911421911421911, 11006.0, 21107, 0.5214383853697825
P276, 380.0, 766, 0.4960835509138381, 11386.0, 21873, 0.5205504503268871
P449, 286.0, 808, 0.35396039603960394, 11672.0, 22681, 0.5146157576826419
P527, 345.0, 956, 0.3608786610878661, 12017.0, 23637, 0.5083978508270931
P108, 43.0, 378, 0.11375661375661375, 12060.0, 24015, 0.5021861336664585
P413, 409.0, 951, 0.43007360672975814, 12469.0, 24966, 0.4994392373628134
P103, 822.0, 919, 0.8944504896626768, 13291.0, 25885, 0.5134633957890671
P463, 148.0, 203, 0.729064039408867, 13439.0, 26088, 0.5151410610242257
P138, 355.0, 468, 0.7585470085470085, 13794.0, 26556, 0.5194306371441482
P176, 851.0, 957, 0.8892371995820272, 14645.0, 27513, 0.5322938247373968
P47, 218.0, 652, 0.3343558282208589, 14863.0, 28165, 0.5277116989170957
P36, 296.0, 471, 0.6284501061571125, 15159.0, 28636, 0.5293686269031987
P31, 594.0, 882, 0.673469387755102, 15753.0, 29518, 0.5336743681821262
