x,y,pid
81.63036,-66.92794,1
-0.40755904,64.79752,1
18.267868,67.53526,1
18.550652,-15.391721,1
13.093178,57.79776,1
3.0893059,35.89639,1
3.6427026,55.88739,1
-2.5845866,-26.120682,1
-7.049289,-72.52242,1
0.06373635,64.01077,1
-20.345291,-30.985977,1
0.18035083,64.75705,1
13.126653,57.877804,1
11.117458,47.393307,1
11.216696,46.98049,1
31.204727,18.779638,1
4.753981,-61.296715,1
21.42391,63.481987,1
-23.488922,56.840706,1
-11.7479925,65.23502,1
23.84631,63.145466,1
21.74795,61.71023,1
-1.5875069,53.917557,1
5.7886724,50.16267,1
-23.484388,56.842808,1
-38.970116,-30.5263,1
12.828697,71.87821,1
20.401812,-58.13026,1
8.809159,73.56109,1
7.748033,54.451126,1
3.7030733,55.804966,1
11.72083,57.446487,1
-47.32483,-50.463238,1
-23.689058,-32.566093,1
21.405771,61.813606,1
1.6061233,-43.4597,1
55.15898,1.7191918,1
9.881661,46.563892,1
6.7391143,54.846985,1
12.488007,62.19376,1
-21.085978,-14.512219,1
56.749825,-20.794052,1
62.011196,1.0429618,1
-10.959772,64.215256,1
-58.258514,-66.73948,1
14.450026,78.23353,1
14.145405,71.220604,1
18.261198,67.52916,1
-22.073753,-26.55498,1
-20.773905,-28.581854,1
7.5593834,66.36738,1
88.9125,29.537363,1
0.3217207,-60.716328,1
14.640834,47.64559,1
-1.9923848,14.947361,1
49.625847,83.61856,1
49.72999,83.509254,1
10.183556,51.813663,1
-56.502506,-66.8058,1
-12.938291,23.860611,1
25.598185,-43.071762,1
17.599483,-15.613734,1
8.57726,51.82133,1
30.77959,1.6693867,1
-6.135284,41.494225,1
0.137983,65.26323,1
37.84427,14.811485,1
-19.024797,-31.009573,1
14.426057,66.28506,1
-3.6018503,38.163017,1
2.4116912,-15.035059,1
-5.0056076,68.477135,1
29.988474,-74.073875,1
11.206537,47.608265,1
4.326145,54.56673,1
-53.13668,-47.527042,1
-4.537032,70.44793,1
-10.638025,-83.20465,1
18.19915,67.48854,1
6.5586743,44.872,1
-9.624277,-29.005571,1
6.9303074,68.13313,1
55.16732,1.6897849,1
10.329106,44.581993,1
5.384072,-79.74255,1
-58.195023,-66.67575,1
-19.496092,-15.675346,1
55.166245,1.6996596,1
6.307435,57.147205,1
24.24232,-15.137471,1
14.138112,65.82338,1
15.069579,71.26067,1
-55.05697,-8.148268,1
88.90713,29.551367,1
9.027642,74.72804,1
14.271043,66.747604,1
10.958533,47.168404,1
22.685118,61.82722,1
-14.279016,18.04434,1
13.211199,57.865772,1
-1.4954183,0.5485978,1
4.5403013,56.017197,1
-3.0544827,-45.61738,1
6.1755385,68.32262,1
51.541107,-23.513622,1
30.825539,1.5561244,1
81.85102,-25.538988,1
0.0607226,64.026535,1
2.2951152,54.170635,1
-20.307629,-33.862022,1
4.0992975,52.28761,1
14.738106,77.93434,1
-21.524258,-31.50656,1
-37.745247,-24.10959,1
9.591825,48.032486,1
14.215405,71.19795,1
9.0540285,75.01908,1
4.736149,44.6953,1
11.68272,6.450483,1
-4.6215425,-28.246561,1
4.2401958,28.436508,1
-4.523906,70.425125,1
-22.803331,-30.15096,1
30.753252,1.6415286,1
18.4719,-77.81047,1
10.3496685,44.92445,1
14.300491,78.39042,1
37.591156,-63.97827,1
10.200333,35.483692,1
-22.447016,-30.444582,1
14.163492,65.95913,1
2.6955438,72.20716,1
4.7360983,44.69739,1
-1.2387608,64.27639,1
72.621605,-61.39371,1
10.498185,48.870125,1
13.117651,71.58886,1
30.831696,1.6409607,1
6.9326196,66.61298,1
38.923115,17.465614,1
